data_category,prefecture_code,police_station_code,report_id,accident_details_code,fatalities,injured_persons,route_code,location_code,municipality_code,occurence_year,occurence_month,occurence_date,occurence_hour,occurence_minute,day_night_code,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,weather_code,terrain_code,road_condition_code,road_config_code,traffic_signal_code,stop_reg_signage_code_party_a,stop_reg_roadmarking_code_party_a,stop_reg_signage_code_party_b,stop_reg_roadmarking_code_party_b,road_width_code,road_alignment_code,collision_point_code,zone_reg_code,median_facility_code,pedestrian_vehicle_separation_code,accident_type_code,age_party_a,age_party_b,party_type_code_party_a,party_type_code_party_b,vehicle_use_code_party_a,vehicle_use_code_party_b,vehicle_shape_code_party_a,vehicle_shape_code_party_b,auto_transm_code_party_a,auto_transm_code_party_b,safety_feature_code_party_a,safety_feature_code_party_b,speed_reg_code_party_a,speed_reg_code_party_b,vehicle_impact_point_code_party_a,vehicle_impact_point_code_party_b,vehicle_damage_level_party_a,vehicle_damage_level_party_b,airbag_code_party_a,airbag_code_party_b,side_airbag_code_party_a,side_airbag_code_party_b,injury_severity_code_party_a,injury_severity_code_party_b,latitude_north,longitude_east,occurence_day_code,public_holiday_code,days_since_cognitive_test_party_a,days_since_cognitive_test_party_b,driving_practice_method_code_party_a,driving_practice_method_code_party_b
1,97,101,21,2,0,1,32010,0,201,2024,1,17,21,40,22,7,18,18,0,1,1,1,1,7,9,22,9,22,15,9,30,70,5,2,21,35,25,3,4,31,31,1,1,1,1,11,11,10,10,60,50,3,3,2,2,2,2,2,4,261335393,1274058282,4,3,9999,9999,1,1
1,97,101,24,2,0,3,3290,763,201,2024,1,3,16,58,13,7,17,17,50,3,1,2,14,7,0,0,0,0,6,9,1,70,1,2,21,55,45,3,4,31,31,1,1,1,1,11,11,5,5,10,30,4,3,2,2,2,2,4,2,261231144,1274033830,4,3,9999,9999,1,1
1,97,101,26,2,0,1,25420,0,201,2024,1,21,1,11,22,7,18,18,3,2,1,2,1,1,9,22,0,0,15,9,30,70,5,2,1,75,45,3,61,1,0,1,0,1,0,11,0,2,0,40,0,4,0,2,0,2,0,4,2,261254292,1274046438,1,3,487,0,9,0
1,97,101,27,2,0,1,5070,0,201,2024,1,9,19,46,22,7,18,17,54,2,1,1,1,7,9,22,0,0,18,9,30,70,5,2,1,65,25,4,61,31,0,1,0,1,0,11,0,10,0,10,0,3,0,2,0,2,0,4,2,261144228,1274214357,3,3,9999,0,1,0
1,97,101,30,2,0,1,25460,0,201,2024,1,23,19,31,22,7,17,18,5,2,1,1,7,7,0,0,0,0,3,9,1,70,4,2,1,25,65,35,61,31,0,0,0,0,0,11,0,10,0,14,0,3,0,0,0,0,0,4,2,261210498,1274200263,3,3,9999,0,1,0
1,97,102,2,2,0,1,10770,0,210,2024,1,7,11,55,12,7,18,17,53,1,1,1,1,1,9,22,9,22,15,9,30,70,5,2,21,45,75,3,4,31,31,1,1,1,1,11,11,2,1,40,50,3,3,2,2,2,2,2,4,260745412,1274001832,1,2,9999,411,9,9
1,97,102,3,2,0,1,27560,0,210,2024,1,16,6,17,22,7,18,17,59,1,1,1,1,7,9,22,9,22,15,9,30,70,5,2,21,45,1,14,51,31,41,11,0,2,0,11,0,3,0,80,0,3,3,2,0,2,0,4,2,260849978,1274024172,3,3,9999,0,5,0
1,97,102,4,2,0,1,32100,0,210,2024,1,9,17,0,13,7,18,17,54,1,1,1,14,7,0,0,0,0,2,9,1,70,5,4,1,35,1,3,61,31,0,1,0,1,0,11,0,10,0,80,0,3,0,2,0,2,0,4,2,260841737,1274020924,3,3,9999,0,1,0
1,97,102,6,2,0,1,25480,0,362,2024,1,19,7,53,11,7,18,18,2,1,1,1,7,1,0,0,0,0,3,9,1,70,4,2,21,35,55,3,4,31,31,1,1,1,1,11,11,3,3,10,30,3,3,2,2,2,2,4,2,261031876,1274310564,6,3,9999,9999,1,9
1,97,102,7,2,0,2,32100,0,210,2024,1,19,15,47,12,7,18,18,2,1,1,1,1,7,9,22,9,22,15,9,30,1,5,2,21,65,1,3,51,1,41,1,0,1,0,11,0,2,0,50,40,3,3,2,0,2,0,4,2,260833317,1273955940,6,3,9999,0,9,0
